model,model_display,train_set,synthetic_ratio,synthetic_full19_p,synthetic_full19_r,synthetic_full19_f1,synthetic_full19_tp,synthetic_full19_fp,synthetic_full19_fn,synthetic_common18_p,synthetic_common18_r,synthetic_common18_f1,synthetic_common18_tp,synthetic_common18_fp,synthetic_common18_fn,combined_full19_p,combined_full19_r,combined_full19_f1,combined_full19_tp,combined_full19_fp,combined_full19_fn,combined_common18_p,combined_common18_r,combined_common18_f1,combined_common18_tp,combined_common18_fp,combined_common18_fn,kdpii_full19_p,kdpii_full19_r,kdpii_full19_f1,kdpii_full19_tp,kdpii_full19_fp,kdpii_full19_fn,kdpii_common18_p,kdpii_common18_r,kdpii_common18_f1,kdpii_common18_tp,kdpii_common18_fp,kdpii_common18_fn
skt_crf_gaz_x3,SKT CRF+Gaz x3,mix_syn100,1.0,0.9957,0.9579,0.9764,6231,27,274,0.9957,0.9579,0.9764,6231,27,274,0.9913,0.9563,0.9735,7529,66,344,0.9913,0.9563,0.9735,7520,66,344,0.9708,0.9488,0.9597,1298,39,70,0.9706,0.9485,0.9594,1289,39,70
skt_crf_gaz_x3,SKT CRF+Gaz x3,mix_syn_all,all,0.9958,0.9583,0.9767,6234,26,271,0.9958,0.9583,0.9767,6234,26,271,0.9921,0.9574,0.9745,7538,60,335,0.9921,0.9574,0.9744,7529,60,335,0.9746,0.9532,0.9638,1304,34,64,0.9744,0.9529,0.9635,1295,34,64
skt_crf_gaz_x3,SKT CRF+Gaz x3,synthetic_only,only,0.9963,0.961,0.9783,6251,23,254,0.9963,0.961,0.9783,6251,23,254,0.9739,0.8909,0.9305,7014,188,859,0.9739,0.8908,0.9305,7005,188,859,0.8222,0.5577,0.6646,763,165,605,0.8205,0.5548,0.662,754,165,605
skt_encoder_baseline,SKT A.X Encoder,kdpii_full,0,0.8164,0.8887,0.851,5781,1300,724,0.8174,0.8887,0.8516,5781,1291,724,0.8376,0.8946,0.8651,7043,1366,830,0.8383,0.8945,0.8655,7034,1357,830,0.951,0.9218,0.9362,1261,65,107,0.9506,0.9213,0.9357,1252,65,107
skt_encoder_baseline,SKT A.X Encoder,mix_syn025,0.25,0.9837,0.9385,0.9606,6105,101,400,0.9837,0.9385,0.9606,6105,101,400,0.9774,0.9356,0.9561,7366,170,507,0.9774,0.9355,0.956,7357,170,507,0.9481,0.9218,0.9348,1261,69,107,0.9478,0.9213,0.9343,1252,69,107
skt_encoder_baseline,SKT A.X Encoder,mix_syn050,0.50,0.9869,0.9482,0.9672,6168,82,337,0.9869,0.9482,0.9672,6168,82,337,0.9803,0.9406,0.96,7405,149,468,0.9803,0.9405,0.96,7396,149,468,0.9486,0.9042,0.9259,1237,67,131,0.9483,0.9036,0.9254,1228,67,131
skt_encoder_baseline,SKT A.X Encoder,mix_syn100,1.00,0.9882,0.9507,0.9691,6184,74,321,0.9882,0.9507,0.9691,6184,74,321,0.9823,0.9439,0.9627,7431,134,442,0.9823,0.9438,0.9626,7422,134,442,0.9541,0.9115,0.9323,1247,60,121,0.9538,0.911,0.9319,1238,60,121
skt_encoder_baseline,SKT A.X Encoder,mix_syn_all,all,0.9877,0.948,0.9674,6167,77,338,0.9877,0.948,0.9674,6167,77,338,0.9799,0.9404,0.9598,7404,152,469,0.9799,0.9404,0.9597,7395,152,469,0.9428,0.9042,0.9231,1237,75,131,0.9424,0.9036,0.9226,1228,75,131
skt_encoder_baseline,SKT A.X Encoder,synthetic_only,only,0.9904,0.9516,0.9706,6190,60,315,0.9904,0.9516,0.9706,6190,60,315,0.9333,0.875,0.9032,6889,492,984,0.9333,0.8749,0.9031,6880,492,984,0.618,0.511,0.5594,699,432,669,0.615,0.5077,0.5562,690,432,669
xlm_roberta_large,XLM-R large,kdpii_full,0,0.8794,0.9087,0.8938,5911,811,594,0.8794,0.9087,0.8938,5911,811,594,0.8929,0.9167,0.9046,7217,866,656,0.8927,0.9166,0.9045,7208,866,656,0.9596,0.9547,0.9571,1306,55,62,0.9593,0.9544,0.9568,1297,55,62
xlm_roberta_large,XLM-R large,mix_syn025,0.25,0.9907,0.9385,0.9639,6105,57,400,0.9907,0.9385,0.9639,6105,57,400,0.9871,0.9402,0.963,7402,97,471,0.987,0.9401,0.963,7393,97,471,0.9701,0.9481,0.959,1297,40,71,0.9699,0.9478,0.9587,1288,40,71
xlm_roberta_large,XLM-R large,mix_syn050,0.5,0.9914,0.9425,0.9663,6131,53,374,0.9914,0.9425,0.9663,6131,53,374,0.9862,0.9449,0.9651,7439,104,434,0.9862,0.9448,0.9651,7430,104,434,0.9625,0.9561,0.9593,1308,51,60,0.9622,0.9558,0.959,1299,51,60
xlm_roberta_large,XLM-R large,mix_syn100,1.0,0.9934,0.9439,0.968,6140,41,365,0.9934,0.9439,0.968,6140,41,365,0.9881,0.9459,0.9665,7447,90,426,0.988,0.9458,0.9665,7438,90,426,0.9639,0.9554,0.9596,1307,49,61,0.9636,0.9551,0.9593,1298,49,61
xlm_roberta_large,XLM-R large,mix_syn_all,all,0.994,0.9399,0.9662,6114,37,391,0.994,0.9399,0.9662,6114,37,391,0.9889,0.9393,0.9635,7395,83,478,0.9889,0.9392,0.9634,7386,83,478,0.9653,0.9364,0.9506,1281,46,87,0.9651,0.936,0.9503,1272,46,87
xlm_roberta_large,XLM-R large,synthetic_only,only,0.9951,0.944,0.9689,6141,30,364,0.9951,0.944,0.9689,6141,30,364,0.9492,0.8884,0.9178,6994,374,879,0.9492,0.8882,0.9177,6985,374,879,0.7126,0.6235,0.6651,853,344,515,0.7104,0.621,0.6627,844,344,515
